system,system_label,catalog,condition,question_set,n,mean_score_lenient,mean_score_strict,refusal_rate,share_score_3,share_score_0
graphrag_pre,"GraphRAG, default prompts",Qiaojia,catalog-only,interpretive excluding D (36),36,1.86,1.86,0.0,0.028,0.0
graphrag_pre,"GraphRAG, default prompts",Qiaojia,catalog-only,all (100),100,1.35,1.31,0.08,0.05,0.16
graphrag_pre,"GraphRAG, default prompts",Qiaojia,catalog-only,"deterministic, category A",8,1.38,1.38,0.0,0.0,0.25
graphrag_pre,"GraphRAG, default prompts",Qiaojia,catalog-only,"deterministic, category B",20,0.7,0.55,0.15,0.0,0.45
graphrag_pre,"GraphRAG, default prompts",Qiaojia,catalog-only,"deterministic, category C",9,0.78,0.78,0.0,0.0,0.333
graphrag_pre,"GraphRAG, default prompts",Qiaojia,catalog-only,"deterministic, category E",7,1.14,1.0,0.143,0.0,0.143
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,+narrative,deterministic (44),44,1.16,1.05,0.114,0.0,0.227
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,+narrative,interpretive (56),56,1.62,1.62,0.054,0.036,0.125
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,+narrative,interpretive excluding D (36),36,1.72,1.72,0.0,0.0,0.083
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,+narrative,all (100),100,1.42,1.37,0.08,0.02,0.17
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,+narrative,"deterministic, category A",8,1.75,1.75,0.0,0.0,0.0
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,+narrative,"deterministic, category B",20,0.9,0.65,0.25,0.0,0.35
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,+narrative,"deterministic, category C",9,1.11,1.11,0.0,0.0,0.222
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,+narrative,"deterministic, category E",7,1.29,1.29,0.0,0.0,0.143
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,catalog-only,deterministic (44),44,1.07,0.93,0.136,0.0,0.318
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,catalog-only,interpretive (56),56,1.62,1.61,0.089,0.107,0.089
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,catalog-only,interpretive excluding D (36),36,1.64,1.61,0.028,0.0,0.139
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,catalog-only,all (100),100,1.38,1.31,0.11,0.06,0.19
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,catalog-only,"deterministic, category A",8,1.5,1.5,0.0,0.0,0.125
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,catalog-only,"deterministic, category B",20,0.7,0.4,0.3,0.0,0.5
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,catalog-only,"deterministic, category C",9,1.44,1.44,0.0,0.0,0.111
graphrag_pre,"GraphRAG, default prompts",Ridgecrest,catalog-only,"deterministic, category E",7,1.14,1.14,0.0,0.0,0.286
vector_rag,Vector-RAG baseline,Maduo,catalog-only,deterministic (44),44,0.95,0.02,0.955,0.0,0.045
vector_rag,Vector-RAG baseline,Maduo,catalog-only,interpretive (56),56,1.64,1.0,1.0,0.321,0.0
vector_rag,Vector-RAG baseline,Maduo,catalog-only,interpretive excluding D (36),36,1.0,0.0,1.0,0.0,0.0
vector_rag,Vector-RAG baseline,Maduo,catalog-only,all (100),100,1.34,0.57,0.98,0.18,0.02
vector_rag,Vector-RAG baseline,Maduo,catalog-only,"deterministic, category A",8,1.0,0.12,0.875,0.0,0.0
vector_rag,Vector-RAG baseline,Maduo,catalog-only,"deterministic, category B",20,1.0,0.0,1.0,0.0,0.0
vector_rag,Vector-RAG baseline,Maduo,catalog-only,"deterministic, category C",9,0.78,0.0,0.889,0.0,0.222
vector_rag,Vector-RAG baseline,Maduo,catalog-only,"deterministic, category E",7,1.0,0.0,1.0,0.0,0.0
vector_rag,Vector-RAG baseline,Qiaojia,catalog-only,deterministic (44),44,0.93,0.27,0.659,0.0,0.136
